,nickname,contents,datetime
539,Oz(oz_p****),"새롭고 신기한 영화다.  생각해보면 미국백인들의 인종차별이 많이 없어진 게 아니라, 인종차별을 안하는 자기자신을 드러내고싶어하는 사람이 많아진 것 뿐.  ",2018-12-09 12:38:00
540,화야(digd****),플레쉬터트리면 최면 풀리는 건가? 다보고나니  왜그랬는지 알겠네요..대박..소름...;;;  ,2018-08-28 17:35:00
541,예이츠(44ye****),최근 영화 중 베스트....  ,2018-08-18 14:43:00
542,뤼오넬뭬쒸(airk****),귀신보다 더 쫄깃하다!!  ,2018-07-23 23:31:00
543,Hana(adeo****),중반부터는 스토리가 좀 뻔했지만 영상미가 괜찮았음 흑인들의 분노를 느낄수 있었다  ,2018-07-04 16:28:00
544,럽송(song****),일부러 사진 있는데 알려줬을지도 문도 열어놓고 빨간박스에 일부러 보라는 느낌이었음  ,2018-07-01 23:20:00
545,djfl****,레알 개꿀잼 영화 오랜만에 진짜 개십재밌는영화 봤다  ,2018-06-24 22:57:00
546,가류타이(rudd****),영화 자주보는 사람인데 영화보면서 닭살 돋은적 처음이다..소름...  ,2018-06-23 20:06:00
547,비젠(ooo_****),내인생 명작 배우들이 전부 연기를 잘해서 한동안 여운이 남았다  ,2018-06-23 14:22:00
548,kron****,이런 주제를 생각해낸것부터 대단하다!  ,2018-06-13 21:14:00
549,배다른형제(seag****),"피의자 백인은 헬프미,피해자 흑인은 당연한듯이 손머리위..  ",2018-06-09 16:18:00
550,RightNow(kim0****),ㄴ레몬맛소다파티에 온 흑인이 플래쉬 터졌을 때 화내면서 get out(나가) get out of this fucking area (이 X같은 장소에서 나가) 라고 고함칩니다. 빨리 이 집에서 벗어나라고 말해준 거죠..  ,2018-05-14 20:26:00
551,wise****,"공포영화 원래 안 좋아하는데 이건 너무 좋았다, 여자배우 무표정으로 전화통화하는거 인상깊었음ㅋ  ",2018-05-12 00:18:00
552,피에쑤(xiuz****),와.... 영화 미쳤다....  ,2018-05-07 01:46:00
553,조광수(rose****),우와  이건 역대급이야새로운 공포.  미저리나 스테포드와이프빰치는 새로운공포  우와우와~~가슴이 쿵쾅쿵쾅  ,2018-04-30 10:13:00
554,카프(rbh0****),영화가끝나고 한동안 자리에서 일어날수가 없엇다  ,2018-04-16 05:14:00
555,5145****,참신하다.놀랍다.!  ,2018-04-14 01:16:00
556,구군(soul****),스토리가 스포일러라 영화에 대한 정보를 하나도 모르고봤는데 이렇게 소름끼치는 영화였다니!! 안보신분들 무조건 보세요! 강추!!  ,2018-04-08 23:42:00
557,달팽이군(91cj****),몰입감있고 흥미로운 스릴러 영화였다. 연기와 소재가 압권. 우울한 결말 예상했는데 통쾌하게 끝날줄 생각하지 못했다.  ,2018-04-07 22:44:00
558,신혜리(sinh****),치밀한 구성과 엄청난 반전에도 쉽게 이해되도록 연출한 것 같습니다 정말 추천이에요 우연히 조조로 봤었는데 저는 도우미아주머니 노우~노~하면서 웃으면서 눈물흘리는 장면을 베스트로 뽑겠습니다  ,2018-03-06 07:55:00
559,갑대(zoon****),헐..꼭 보세요 진짜....간만에 영화다운 영화  ,2018-02-22 22:17:00
560,psslayer(kary****),"신선도가 높은 이유, 미뽕 백뽕 여러뽕을 맛봤지만 이런 흑뽕은 처음이야  ",2018-02-20 23:52:00
561,동규밖(dlae****),근데 나도 한번 최면당해보고 싶다. 궁금하네  ,2018-02-18 22:34:00
562,탄회(guri****),"그냥 재밌었습니다. 그 ""사진"" 대체 왜그렇게 뻔히 보이는 곳에 보관을..;; 결말이 너무 빠르고 해결방법도 전형적임. 결말이 아쉽다  ",2018-02-18 00:45:00
563,ㅊㅓ니(zzic****),반전에소름 연기에소름~~  ,2018-02-07 02:55:00
564,엣딧(eigh****),버릴 씬이 없을정도로 알차고 깔끔하다. 배우들의 표정연기가 정말 대단했다. 공포영화를 초탈하여 재미와 메시지까지 보여준 좋은 영화.  ,2018-02-06 11:13:00
565,정유경(wjdd****),인생영화라고 칭할 수 있을 정도로 재밌게 본 영화. 여운도 엄청 남음  ,2018-02-01 00:19:00
566,Cobaltblue(kiho****),이 영화를 보면 '흑형'이 왜 인종차별적 발언인지 깨달을 수 있다  ,2018-01-26 21:36:00
567,아프로디테(asdd****),초반부 교통경찰이 차 세우고 신분증 달라고 할 때 극구 말린게 다 이유가 있었던거다  ,2018-01-17 17:39:00
568,그랜드마스터(wjdf****),통통한흑인친구 주인공여친 로즈랑통화할때 거짓말인거 눈치채고 손 제스쳐하면서 후~ 빗취 뻑 라이! 뻑! 디스마더뻑커스라이! ㅋㅋㅋ그리고 로즈가 나랑자고싶어하는거아니냐고물어봤을때 젠장할! 무슨씻나락까먹는소리야 연머거! 이러면서 팩폭하고전화끊는거겁나웃김ㅋㅋ  ,2017-12-31 13:34:00
569,cadabby(neko****),생각보다 그저그랬어요 ㅜㅜ 스켈레톤키랑 너무 비슷하던데 반전이 너무 예상되는?  남주보단 조연들의 연기가 더 돋보였던거 같아요  ,2017-12-27 01:16:00
570,psy6****,그냥 킬링타임용. 별내용없음  ,2017-12-19 15:39:00
571,ㅋㅋ(kch9****),한국에서 이런 영화를 만들 수 있을까  ,2017-12-14 22:04:00
572,조지아(rlad****),"I'm TS ,mother Xucking A  ",2017-12-08 22:56:00
573,sweet home(jdsh****),파티때 여친이 산책가자고 하는것도 다.. 그렇게 밖으로유도한 후 안에선 조용히 경매타임이라니 소름끼친다..  ,2017-10-07 18:55:00
574,kim(varv****),관람객재밌었어요 좀 무서워요  ,2017-09-16 10:44:00
575,ㅇㅇㅇㅇ(sing****),개쩐닼ㅋㅋ 약빤듯 안빤듯한 연출력 코미디언배우 출신이라 그런가 ㄹㅇ 눈여겨 봐야할 감독 1순위 인듯  ,2017-09-12 00:03:00
576,주노날드(wnsg****),반전쯤에 동생이 때릴라 그랬는데 여주가 뭐하는 짓이냐고 한것도 상품가치 떨어지니까 하는 소리네...ㄷㄷ  ,2017-08-22 15:27:00
577,순욱(jeff****),이영화가 재밌었다면 스켈리톤키를 보세요.. 전 겟아웃보다 훨씬 더 재밌었습니다  ,2017-08-09 13:19:00
578,h200****,여자가  제일 무서웠다. 모든게 밝혀졌음에도 목숨을 부지하려 가증스럽게 연기하는 모습이....정말 소름끼쳤다.  ,2017-07-31 17:39:00
579,강병국(thug****),두 번째 볼 때 가장 소름끼치는 영화  ,2017-07-25 02:10:00
580,까밤예진(clar****),진짜개꿀잼.. 지루할틈이없음  ,2017-07-17 23:06:00
581,별똥별(sagu****),감독이 천재인가보다.  ,2017-07-15 20:33:00
582,26875(chzh****),관람객진짜 너무 무서우면서 괴기하다...  ,2017-07-15 14:17:00
583,디알리아(hyun****),소재참신 여주 진짜무셤  ,2017-07-15 02:01:00
584,행복하자(newg****),진짜 신선한 영화였다잼써요!  ,2017-07-15 01:04:00
585,VICTOR(vict****),재밌다. 강추한다. 백인들 ㅈㅈ 응?!  ,2017-07-14 23:16:00
586,백여우님(kkin****),완벽한 인종차별의 영화  ,2017-07-10 21:36:00
587,국민요정(2713****),여러번 봐도 질리지 않음  ,2017-07-10 18:35:00
588,푸(rkdt****),흑인차별을 비꼬면서도 흑인을 우월시하는 모순된 영화. 그리고 이 모든걸 담으면서도 공포와 여러 떡밥이 어우러지게 만든 훌륭한 연출 보고나서 알 수 있는 겟아웃의 진짜 의미!  ,2017-07-09 13:13:00
589,게러(kkul****),파출부 아줌마 소름!웃으면서 눈물 흘릴때 대박  ,2017-07-09 01:27:00
590,김강희(kgh7****),무슨 해석이 필요한가 미스터리영화가 이렇게 발전했다  ,2017-07-09 01:11:00
591,달콤쌉싸름(xnxl****),"새롭고 새롭다. 몇몇 장면은 분명 두고두고 회자가 될 이미지로서 남았고, 연출 미술 음악 조명 당연히 배우들의 연기까지 그 모든게 조화롭게 기이한 난장을 구성한다.  그 어떤 호러보다도 땀나게하는 진행속 곳곳에 숨겨진 실소가득한 '블랙코드'  ",2017-07-04 11:12:00
592,ufo2016(quan****),여친아버지  사슴애기할때 부터 오싹!!!! 사슴=흑인근데 주인공이 사슴보면서 뭔가 연민을 느끼는 오싹2!!  ,2017-07-04 04:34:00
593,maro****,"보는내내 긴장을 늦출수가없었고, 중간중간 깜짝 놀라는 씬들이 많았습니다..ㅠ큽 처음부터 의심가는 부분은 많았지만, 나중에 이렇게  발각될줄은 몰랐고!ㅋㅋ무튼 재밌었습니다!  ",2017-07-03 21:12:00
594,스매니아(pass****),후반부 카운터 어택이 좀 시시해서 아쉬웠다  ,2017-07-03 19:21:00
595,qotn****,이거 ㄹㅇ 개꿀잼임 두번째 보면 또 다른 재미가있음 역시나 대단한 영화는 그 어떤 한장면도 이유가 없는 법이없다 쓰레기 한국영화 자살좀  ,2017-07-03 04:12:00
596,vanq****,또 뭔 반전 있을까봐 끝까지 긴장됐음  ,2017-06-26 03:11:00
597,푸들잉(rhtn****),흑인여자연기가 영화의 최고였다고생각함. 원래 스릴러 안좋아하는데 이영화는 엄청나게 재밌었음.  ,2017-06-20 13:18:00
598,quas****,인간의 본성의 한계를 볼수잇는 장면들이 너무 많아서 재미잇엇습니다  ,2017-06-19 13:00:00
599,가치투자(mp86****),복선대단하다.초대받은흑인이 플레시터지는카메라에찍히고주인공에게 계속 꺼지라던거관리인이 밤에 뛰던거 여집사가 웃으면서 아니라고한거 다보고나서 이해가갔다. 대단한영화다  ,2017-06-19 01:07:00
600,쿠(feel****),"와 오랜만에 정말 영화 다운 영화, 대박  ",2017-06-18 21:53:00
601,김겨울(kimd****),관람객인상깊은 영화에요 잘봤습니다.  ,2017-06-17 20:42:00
602,good girl(tnwj****),어떤내용인지 모르고 그냥봤는데..너무재밌어요.  ,2017-06-17 01:55:00
603,MABAM(kjm_****),마지막 장면에서 경찰차가 왔을때 모든 관객들이 같은 생각을 했다면 이 감독이 전하고자 하는 현 사회적 이슈와 편견의 메시지는 제대로 전달된것같다.  ,2017-06-17 01:55:00
604,삼바(l422****),"사슴을 치면 나는 이렇게 생각히지""이제 시작이구나""  ",2017-06-15 17:16:00
605,최정우(jw33****),엄청난 반전을 기대했으나... 좀 뻔해져서...  ,2017-06-14 16:11:00
606,으뇨늬(whom****),관람객조금 섬뜩하면서도 흥미진진했던 영화  ,2017-06-12 18:36:00
607,rvgw****,관람객재미있어요 추천합니다  ,2017-06-11 02:01:00
608,jiwo****,관람객예고편 왜 봤니 나....  ,2017-06-11 01:58:00
609,김충현(chun****),관람객시간 가는줄 모르고 봣네요ㅎㅎ  ,2017-06-11 01:41:00
610,홍딩(1993****),간만에 볼만한 신선한영화  ,2017-06-08 03:48:00
611,Newyork(tjwo****),다니엘 칼루야 멋있었다 ...  ,2017-06-08 03:15:00
612,powe****,돌이키고나면 모든 장면엔 다 그만한 이유가 있었다.  ,2017-06-08 02:28:00
613,즐라탄명령듣지않는다(jjan****),와 .... 스토리 연출 연기 모두 완벽했다  ,2017-06-08 01:09:00
614,Yulcio(euny****),관람객저 이거 두번봤어요..ㅋㅋㅋ  ,2017-06-08 00:55:00
615,kjpg****,관람객서서히 조여오는 긴장감이 좋았습니다  ,2017-06-08 00:26:00
616,chs0****,차별 앞에 묵묵히 있을 수 밖에 없었던 주인공의 감정을 내내 느낄 수 있었다 늙은 백인들 사이에 있는 나는 심리적으로 내몰릴 수 밖에..  ,2017-06-07 17:58:00
617,qkrt****,상영시간이 짧다고 느껴질만큼 영화 스토리에 빠져든다  첨부터 끝까지 예상을 빗나가는 영화였다 그래서 더더욱 잼있었다 ㅋㅋ  ,2017-06-07 09:09:00
618,욕심많은유령이a(make****),다 보고난 후에야 퍼즐을 완성할 수 있었다  ,2017-06-06 22:38:00
619,호도나무(song****),예고편 안보고 아무 정보없이 보았는데 몰입이 장난 아닙니다..호스텔 생각나네요.. 감독판 완전히 다른 결말도 있어요..  ,2017-06-06 21:10:00
620,곰돌(ytoo****),재미짐 봐보세요 은근 안무서워요 ㅋㅋ  ,2017-06-06 08:17:00
621,rony****,이런게 진짜 영화다 꼭 보시길  ,2017-06-06 06:01:00
622,조우준(nanj****),영상미는 잘살렸으나 내용의 전개가 미흡한 부분이 많았다 할리우드판 곡성이라고해서 살짝 기대했지만 생각보다 시시한 결말이였던것 같다 하지만 중간중간 배우들의 연기력이 영화를 더욱이 집중할수있도록한 영화이다 결말과 내용의 전개가 매끄러웠으면 더좋지않았을까  ,2017-06-06 02:18:00
623,바람과 물(hiph****),"지난 10년간 내가 본 영화 중 가장 몰입도가 높고, 독창성이 돋보이는 상업 스릴러 영화  ",2017-06-05 21:20:00
624,대우(astr****),근래봤던 모든 장르의 영화 중 최고였다  ,2017-06-05 20:35:00
625,다영하준하민맘(age_****),"관람객귀신이 나오지 않는데도 무서웠고, 제일 무서운건 역시사람ㅜㅜ그것도 믿었던 사람ㅠ추천합니다~  ",2017-06-05 20:25:00
626,thfl****,관람객재미있었어요~ 스릴넘치고  ,2017-06-05 20:23:00
627,FFF(29ls****),관람객짜릿짜릿 겟아웃 ! 보는내내 쫄깃  ,2017-06-05 19:16:00
628,wpdl****,진심 너무 재밌게 봤어요~ 강추!!!  ,2017-06-05 18:24:00
629,또순잉(haha****),관람객사실 예고편이 스포라 별 기대 안하고 봤는데 재밌었습니다~ 특히나 집에서 일하시는 흑인 여자분 웃으며 눈물 흘릴때 소름 돋았어요..ㅠㅠㅠ  ,2017-06-05 17:36:00
630,우키이익(acy2****),복잡하지않고 깔끔했어요  좋았어요  ,2017-06-05 17:25:00
631,ansq****,정말 훌륭한 영화에요! 우리나라는 배우빨로 승부하는게 대부분인데  ,2017-06-05 17:21:00
632,이레딧(whit****),한 20분 지났나라고 생각하던 찰나에 끝이 났다.집중시키는 능력이 대단한 영화임은 틀림 없음  ,2017-06-05 17:09:00
633,김정현(heyj****),관람객아무것도 모르고 봤으면 정말 충격적이었을 영화  ,2017-06-05 03:29:00
634,jmkk(jmkk****),정말 기발한 영화다.  강하게 몰입되었고 너무 재미있었다. 시간 가는 줄 몰랐다. 정말 농담 안 하고 한 30분만에 끝난 줄 알았다. 1시간 40분짜리 영화인데도...  ,2017-06-04 21:13:00
635,jaeh****,관람객귀신보다 사람이 무섭다는게 뭔지 알겠습니다.  ,2017-06-04 20:07:00
636,obth****,남주의 과도한 표정질이 좀 불편하지만 괜찮은 영화 초중반부터 계속 몰입  ,2017-06-04 17:24:00
637,hoso****,"관람객분위기가  무서웠습니다. 중간중간에 깜짝놀라게하는 부분이 있었고, 그 점이 이 영화의 매력이라고 생각합니다.  ",2017-06-04 17:06:00
638,쫑현(whdg****),관람객재밌고 무서웠다 사랑스럽다  ,2017-06-04 17:02:00
639,준홍준홍2(dlwj****),"관람객보는 내내 집중 집중 집중,,,  ",2017-06-04 16:50:00
640,pba5****,이영화는 반전의 반전의 반전의 반전이 곁들어진 영화.. 공포영화 못보시는분들도 무난하게 보실수 있을듯! 재밌어용 근데 마지막 뭔가 아리마셍...  ,2017-06-04 16:40:00
641,오즈(foot****),"8.5가 맞다. 단순히 재미없다는 사람들은 액션,영웅물만 좋아하는 초딩들일 것. 소재가 참신하다고들 하는데 그렇진 않고 다만 영화 속의의미가 참신했음. 번갯불에 콩궈먹듯 흘러간 마무리에 조금 당황했지만 어느새 1시간 반이 되있는 시간을 생각해보면 소름  ",2017-06-04 14:52:00
642,Soodaeng(gogo****),아니 평가들 전부 스포개오지내 ;;  ,2017-06-04 01:52:00
643,pard****,내 인생에서 손꼽히는 영화로 등극  ,2017-06-04 01:06:00
644,유진(chun****),진짜 이것은 대박ㅜㅜㅜㅜ  ,2017-06-04 00:51:00
645,쓰왕(rkdm****),와 도입부쯤에 납치당한 사람 흑인이였고 그 사람도 여주인공이랑 통화하면서 납치당한거잖아 미쳤다 진짜 복선  ,2017-06-03 11:02:00
646,소금이(nome****),관람객몰입도가 확실히 좋아요!! 재밌게 잘봤네요~  ,2017-06-01 22:16:00
647,gka1****,관람객짱~~재미있었어오ㅡ  ,2017-06-01 22:16:00
648,ford****,관람객참신함과  재미를 동시에  ,2017-06-01 20:19:00
649,일요일오후(sund****),"진짜 최고... 신선도 뿐만이 아니고 구성도 탄탄한, 치밀하게 잘 만든 영화. 감독 천재인듯.  ",2017-06-01 19:29:00
650,hektor1(heka****),흑인 코미디언으로 30년간 종사하며 성공한 감독의 시각에서 바라보는  현대사회의 흑인의삶.  ,2017-06-01 15:17:00
651,casker2(cask****),사실 단순한 이분법적인 흑백 논리로 보기에는 어렵다. 흑인들은 말할 것도 없고 백인에게 있어서도 흑인은 동경의 대상이자 공포이다. 어쨌거나 흑인 남성의 시선으로 백인들을 적나라하게 묘사하고 있는 것은 신선한 충격이긴 했다.  ,2017-06-01 11:52:00
652,lhr0****,어느정도 예측가능한 영화 그래서 더 몰일할수  있어서 재미있게 봤어요  생각할수록 무서운 영화  ,2017-06-01 11:52:00
653,무슬림술맥이기(dlcj****),하인들이 씩 웃을때 왜 웃지 했다가 영화를 다보고 나서 그 웃음의 의미를 알게되고 소름돋음  ,2017-06-01 11:30:00
654,하늘바람(purp****),마지막까지 긴장감을 늦출 수 없었다.  ,2017-06-01 11:20:00
655,answerlessness(tndh****),"관람객스토리를 이용해서 연출해 놓은 불쾌한 공포감, 이질적인 느낌이 상당히 좋았습니다. 이런 공포영화는 자주 있었으면 좋겠네요.  ",2017-06-01 10:00:00
656,트와이스정연(thee****),관람객중간중간 깜짝 놀라는 장면이 일품이었습니다  ,2017-06-01 09:07:00
657,문경덕(supe****),난 다른거보다 주인공이 마지막에 가족들하나하나 시원하게 다 직이는거보니 진짜 속이뻥뚫렿ㄴ음  ,2017-06-01 03:40:00
658,뿌잉(xsdo****),방금보고왔는데 개존잼이해 안가는 부분들은 해석보면서 소름돋는중ㄷㄷ포스터도 개잘만듬 감독이 진짜 천재인듯  ,2017-06-01 01:39:00
659,박형수(sn39****),"관람객우리 사회의 불편한 차별이라는 진실을 그리고, 인종 차별이라는 내용을 너무나도 잘 풀어 보여준 영화이며 105분 가량의 러닝타임이 어떻게 지나간지 그리고 그 임펙트는 말로 설명할 수 없을 만큼 진하다.  ",2017-05-30 16:56:00
660,yana****,가정부 여자 웃는 모습이 너무 무서워요...  ,2017-05-30 09:53:00
661,다비(dabe****),관람객평소 인종차별에 대해 무지했던 나를 돌아 볼 수 있게 되었다. 영화의 내용 전개는 뻔할지 모르지만 소재가 신선하고 배우들의 연기력에 감탄을 하게된다.  ,2017-05-30 09:51:00
662,psb9****,크으...대존잼   진짜 단순 공포영환쥴 알고 봤는데 아니었다  하 오랜만에 재밌는 영화봐서 기분이 좋다 캬  ,2017-05-30 01:20:00
663,즈눙(0812****),재밌게보고 왔습니다.  ,2017-05-29 21:36:00
664,바로로구나(antk****),토드 진정한 브로~~ 존잼  ,2017-05-29 20:48:00
665,난놈(gjdb****),진짜 구라안치고 보다가 지릴뻔함;;  ,2017-05-29 20:44:00
666,slee****,진짜 리얼한 현실임...슬프고...  ,2017-05-29 20:16:00
667,모히또(tour****),"'자기야, 우리 부모님이 보고 싶어하셔♡'에서 출발한 엄청난 상상력  ",2017-05-29 20:06:00
668,chunin(chun****),인종차별영화로만 알고 보러갔다가 놀라서 마시던 음료 집어던졌음ㅜ 주제를 다가가는 방법이 신선했고 복선들을 알면 더 재밌는 영화. 강추!  ,2017-05-29 19:28:00
669,ㅋ(godd****),관람객짱잼 꿀쨈 존잼 열잼꾸르꾸르잼  ,2017-05-29 17:59:00
670,개츠비(gats****),곡성이랑 비교하지 마시길....  ,2017-05-29 16:43:00
671,wlal****,평점평  계속 읽어보니 1점 주는사람들 알바인듯.. 영화 진짜 재밌어요!  ,2017-05-29 01:50:00
672,DM(dm49****),관람객처음부터 전부 다 재미있었어요.  ,2017-05-28 23:45:00
673,mora****,귀신만 나오고 놀래키는 무서운 영화인줄 알았는데 정말 재미있네요ㅜㅠ 무서운거 싫어하시는 분들 가세요 정말 잘만들었어요  ,2017-05-28 23:03:00
674,꿀피부샷(jjan****),신선하고 재었었다기대하고 보면 실망하는데 전혀 그렇지 않았음특히나 배우들의 연기가 몰입하는데 최고였고영화를 다 본이후영화에서 주는 메시지에 다시 한 번 감탄한다앞으로 이런 신선한 영화 많이 나왔으면 좋겠당  ,2017-05-28 22:34:00
675,레몬비누(kmu6****),한장면 한장면 인종차별에 관한 풍자를 신랄하게 보여 준 스릴러 영화 심플하면서 핵심있다  ,2017-05-28 22:14:00
676,나무늘보(vilc****),관람객엄청무서워여  이제 찻잔은 못봐요  ,2017-05-28 22:14:00
677,충군(choo****),간만에 심장 떨어지는 줄... 내용도 신선했고 연기도 너무 잘함. 이런 영화 흥해야함!  ,2017-05-28 22:03:00
678,star****,"진정한 역대급 경험을 하고싶다면 예고편, 평점, 영화소개 등 모든것을 차단하고 영화관에 입장하라. 지금껏 본적없는 신세계를 경험할 것이다  ",2017-05-28 21:54:00
679,제리(zini****),관람객끼야아악 대박 너무 긴장감있고 후기보면 더 대박  ,2017-05-28 21:23:00
680,융(wjdd****),재밌었는데 조금 잔인하기도 했다ㅋㅋㅋ갑툭튀도 대박ㅠㅠㅋㅋ  ,2017-05-28 20:19:00
681,채원(tkfk****),가정부 연기 OO다 진짜..영화 끝나고도 계속 생각남 진짜 소름..  ,2017-05-28 18:02:00
682,흥지(kimo****),관람객생각하지 못한 반전. 연기력 짱. 놀라움의 연속이었음  ,2017-05-28 16:19:00
683,김제경(kimj****),대박... 근래 영화 보면서 가장 예상치 못한 반전... 그리고 뜬금포 귀신 등장 이런거 전혀 없이 사람으로 극한의 공포를 줄 수 있는 영화  ,2017-05-28 15:54:00
684,yuminji(min9****),몰입도 최고!! 영화보다가 시간가는 줄 모르고 본 영화는 정말 오랜만이였어요  ,2017-05-28 14:17:00
685,sm46****,관람객영화가 다 끝나고 좀 생각해보니 내용이 이해가 가더라구욬ㅋㅋ 주변 관람객들도 처음엔 저처럼 어리둥절 하더니 다들 이해하신듯 아~ 하시곸ㅋㅋ 신선한 스토리였습니다.  ,2017-05-28 14:16:00
686,갸릉이(bsi9****),보는 동안 소름돋고 보고나서 해석하는데 소름 돋는 영화  ,2017-05-28 14:04:00
687,kbs9****,관람객재밌었어요. 내용 자체가 무서우면서도 소름이 돋는 참신한 영화였습니다.  ,2017-05-28 12:28:00
688,sim9****,관람객생각보다 재밌게 봤어요궁금증을 갖고 끝까지 놓치지 않고 봤답니당  ,2017-05-28 12:11:00
689,wlru****,관람객호러 요소는 좀 식상하지만 그래도 계속 주변 것들을 생각하면서 볼수 있어요 쳐다보던 시선이 참 무섭네요  ,2017-05-28 12:07:00
690,박시형(shyo****),관람객짜릿하고 스릴넘치네요 추천  ,2017-05-28 11:48:00
691,baek(baek****),난 너무 좋았다 굳 잘 봤습니다  ,2017-05-27 23:52:00
692,asdf(cckk****),이영화 2번째보면 모든장면들이 다 이유가있음을 알수있음 ㄹㅇ 감독이 천재인듯  ,2017-05-27 23:51:00
693,YSY(ysy6****),관람객예고편을  안봤으면..  ,2017-05-27 22:23:00
694,강남역팅커벨(ansg****),"영화가 시사하는바가 크고, 소름의 연속재밌음.  ",2017-05-27 19:28:00
695,gain(hibe****),볼까말까 고민하다가 봤는데.... 보길 정말 잘했어요 고민중이라면 보세요! 시간 가는줄 모르고 보다가 끝이 났네요  ,2017-05-27 19:13:00
696,123(ijs0****),진짜 재밌었음 앞으로 헐리웃에서 다양한 인종과 소재를 다뤄줬으면 하는 바램  ,2017-05-27 19:01:00
697,박미영(1818****),관람객굿뜨굿뜨굿뜨굿뜨굿뚜굿뜨  ,2017-05-27 18:28:00
698,고구마(soul****),"관람객그냥 지림,, 천재야 이건  ",2017-05-27 18:02:00
699,불난집에군밤(dhtk****),여자애 열쇠줄려다가 안주는모습 연기개잘한다  ,2017-05-27 17:41:00
700,내복입은꽃(daeu****),처음부터 끝까지 소름...  ,2017-05-27 12:00:00
701,djwo****,관람객곡성과 같은장르인 미스터리물인 반면 끝이 시원해서 좋다 그리고 전 장면신들을 하나하나 회상해보면 소오름 진짜 주인공 죽었으면 고구마100개  ,2017-05-27 11:49:00
702,hjh2****,예고편 만든 사람 진짜...하..이 영화 보고싶다면 예고편 짜집기해서 보세요.영화관가서 돈 날리고 왔네요.  ,2017-05-27 10:30:00
703,피아(plan****),요근래 나온 영화중 가장 소름돋았아요. 백인집단이 보이지않게 보여주는 적대감 차별 우월주의등이 너무나 무서웠음;;그냥 소름돋았음  ,2017-05-27 01:29:00
704,용용(cywo****),신선도 99퍼는 맞다 이런 내용과 전개의 영화는 없었기 때문에 ㅎㅎ 인종차별에 관한 장면들을 다시 곱씹으면 좋을듯  ,2017-05-27 01:28:00
705,Worldstar(seny****),이 영화는 죽기전에 봐여하는 영화 리스트로 넣어야 한다.  ,2017-05-27 00:39:00
706,괄호본능(mild****),지린다 진짜 ... 개그맨 출신 영화감독의 충격적인 데뷔작..  ,2017-05-27 00:09:00
707,ㅈㅈㅎ(jjjj****),관람객정말 신선하고참신한내용이었습니다  ,2017-05-26 21:54:00
708,애가똥싸(tbvj****),ㅋㅋㅋ 엄마랑 흑인이랑 찻잔 노려보다가 찻잔깰때 할리갈리인줄  ,2017-05-26 21:27:00
709,이수연(syn6****),사진 일부러 보이게 둔건데 영화에서 말하잖아요 미리 알고 수술해야 이식이 더 잘된다고. 일부러 문 열어두고 보게한듯  ,2017-05-26 20:21:00
710,지은(kje6****),흠 그렇게 찬양할만큼은 아닌데 ㅋㅋㅋㅋ  ,2017-05-26 18:06:00
711,닭템(fftp****),광명롯시] 확실히 독특했다. 짙은 스릴러로 인한 타이트한 긴장감이 좋았다. 스토리와 음악도 훌륭했다. 딱히 흠잡을 데 없이 재밌었지만 내가 영화에서 기대하는 뭔가 스펙타클한 장면이나 무의식에만 존재할거 같은 밑바닥의 감성을 건드리진 못해서 9점준다.  ,2017-05-26 17:24:00
712,마중물(lms8****),신하균 주연의 더게임을 봤다면 큰 충격(?)이 없음...인종차별을 소재로만 활용할 뿐 메시지는 없음. 걍 그랬음...그나저나 솜이 그렇게 방음이 잘되나?  ,2017-05-26 15:24:00
713,swimming(hsg0****),진짜  여태껏 본 공포영화 중에 제일 깔끔했음. 밤에 생각날 것 같지도 않고 그냥 영화관에서 완전 재밌게 보고 개운하게 나올 수 있음.  ,2017-05-26 14:17:00
714,쨩이용(phj0****),관람객소름 소름 소름 소름 소름  ,2017-05-26 01:51:00
715,byb0****,처음보고 한장면한장면 다시 생각나서  두번째로 봤는데 처음봤을때랑  완전 다른 영화가 돼버리네... 몇번을 다시 볼때마다 계속 보고싶어지는 영화  ,2017-05-26 01:50:00
716,PJS(airf****),관람객예고편 보고 갔으면 큰일날뻔 했음 ㄷㄷ 아무 생각없이 봤다가 굉장히 재밌게 보고 나옴.  ,2017-05-25 23:07:00
717,이보경(minu****),관람객마지막에급격한전개가...재밌었어요~  ,2017-05-25 12:50:00
718,우찌까(tpdn****),관람객나까지 최면걸린것 같움ㅎㅎ  ,2017-05-25 12:32:00
719,이야그런패턴이구나(rudd****),재밌음. 가서 보셈. 후회 안함.  ,2017-05-25 11:40:00
720,madjudo(psh5****),"백인 우월주의, 아직도 흑인에 대한 인종차별이 심하다는 현실을 보여주네  ",2017-05-25 10:29:00
721,youn****,관람객배우들의 표정연기가 무서울정도로 리얼했다  ,2017-05-25 09:55:00
722,우혜선(0128****),여기서 평점보면서 장면하나하나와 엔딩 하나하나를 곱씹어보니 .... 너무 소름돋고 정말 좋은영화 bb  ,2017-05-25 09:54:00
723,훈제연어(dohe****),경찰차가 왔을때 긴장한 이유는?  ,2017-05-25 02:22:00
724,매력퐁듀(ptss****),크리스가 박스에서 사진 발견했을때 마지막에 조지아 사진 나오고 나서 ㄹㅇ 소름 돋음  ,2017-05-24 23:56:00
725,그늘(ssss****),뻔한 내용을 전혀 색다르게 만들어버렸다.  ,2017-05-24 22:48:00
