,nickname,contents,datetime
70,신사(lim1****),"남주 올라갈때 모두 멈추는 장면, 빙고 낙찰 장면 너무 기억에 남는다.. 모든 장면에 이유가 있고 그 모든게 떡밥이었음  ",2017-05-21 06:14:00
71,최성민(tjda****),너무 충격적이여서 여운이 1주일은 갈거 같다  ,2017-05-17 12:51:00
72,아키(holi****),평점이 왜 이러는지 간만에 정말 재밌게본 공포영화예요 꼭 보세요 후회안해요~  ,2017-05-17 00:53:00
73,권빵(rudf****),흑인 소울 없는 흑인이 얼마나 무서운지 알았다  ,2017-05-21 23:05:00
74,예딘(yjgj****),인형부터해서 사람까지 모두가 크리스를 보고 있었던것도 복선이였군요 크리스를 원한다는??  그런거그리고 로즈도 도입부에 크리스 면허증을 안보여주고행적을 남기지 않으려는 것 까지 모든게 딱 맞춰지네요재밌었습니다.  ,2017-05-19 00:02:00
75,유양(pink****),관람객아무생각없이봤던 전조부분이 하나하나 단서가되어 뇌리에 꽂힌다.  ,2017-05-18 01:36:00
76,blue****,관람객끝이 조금 허무했지만 남다른 소재로 긴장감을 제대로 느꼇어요재밋네요  ,2017-05-17 22:21:00
77,LadyRIRI(mind****),관람객인종차별이 아직도 어딘가에 드리워져있는것같아서 그게 더 무서웠네여  ,2017-05-17 22:46:00
78,추예은(chuy****),관람객연기가 너무 소름돋아여  ,2017-05-19 18:31:00
79,skde****,흑인은 여전히 사냥되고 있다. 오바마를 비롯해서 흑인들이 백인사회에 받아들여진 것 같지만 그들은 흑인의 외모를 갖춘 백인과 다름없으며 흑인 정신과 매너를 가지고 흑인으로서 살아가는 자들이 아니라는 것. 언젠가 흑인다운 흑인은 멸종할 것이다.  ,2017-05-20 22:47:00
80,락사마(ckr3****),엄청난 연출력이다 디테일이 살아있네  ,2017-05-17 12:01:00
81,반헬싱(pine****),관람객무서운 장면 없이 지리는 영화  ,2017-05-18 00:27:00
82,슬림(swh2****),"흑인들 모자쓴이유,,가정부 앞머리 덮은이유,,면허증 안보여준이유,담배피지말라는이유,정원사가갑자기 뛰어댕긴이유,가정부가 거울보고 웃는이유,ㅅㅂ 복선들이 ㅎㄷㄷ함,반전도 중반에 하나 마지막에하나 심리스릴러 역대급 영화인건 분명함,,,  ",2017-05-21 22:44:00
83,달(dal0****),관람객보고나서도 손에 땀이 계속남 ㅜㅜ 진심 감독 리스펙!!  ,2017-05-17 14:36:00
84,TJ(judy****),관람객영화 보는 내내 숨 못쉬다가 크리스 친구만 나오면 안심했닼ㅋㅋ  매력 쩔음  ,2017-05-22 16:48:00
85,geni****,관람객진짜 새롭다 멀 본거지 후아  ,2017-05-17 14:08:00
86,hani****,이 지옥같은 곳에서 겟아웃! 소름 쫘악  ,2017-05-18 19:22:00
87,하람아빠(gwan****),감독의 첫 호러스릴러라고는 믿기지 않는  ,2017-05-18 21:09:00
88,보드 맨(nbad****),정밀한 스토리구성에 연기자들까지 수준높아서 몰입방해 없네요  ,2017-05-17 02:51:00
89,승리(khwt****),관람객마지막 친구도 한통속인줄..  ,2017-05-24 20:20:00
90,jkjy****,뚱띵이가 감독이었다니!예고편을 아예 안보고 봤다면 훨씬 재밌었었을듯...  ,2017-05-18 03:09:00
91,mssg****,관람객처가집 인사도 못드리러가긋네 인자  ,2017-05-20 23:43:00
92,jinn****,발상은 신선하고 긴장감은 있는데 고조되는 분위기에 비해서 끝에서 주인공 혼자 그냥 10분 만에 뚝딱 해결하고 끝.. 아쉬웠지만 킬링타임용으로는 괜찮다  ,2017-05-17 18:11:00
