word,tf
맨,3.58
뛰어내리,3.0
울,4.7
팔,3.0
회상,3.32
씬,4.58
누,3.58
유,3.0
붕,1.0
뜨,3.0
그림자,1.0
유가,1.0
속성,1.0
알리,4.46
브레이크,2.0
버튼,1.0
바리,2.0
케이,2.0
트가,2.0
시체,2.58
널리,1.0
반대편,4.0
지역,4.46
완전히,3.0
총력,1.0
방어,3.0
실루엣,1.0
상부,1.0
보고,4.0
여부,3.81
확인,4.81
안되,3.81
사살,3.0
방아쇠,2.58
당기,2.58
준비,2.58
노래,4.91
부르,4.46
민간인,2.0
쏘,3.0
최종적,1.0
마무리,3.0
답,3.0
니,3.58
프리퀄,1.0
후속,2.58
작,3.0
리,3.32
지게,1.0
안녕,2.0
벌쓰,3.0
일주일,1.0
목요일,1.0
내일,2.0
금요일,1.0
정,1.0
오랜만,3.32
포스팅에서,1.0
건달,1.0
영화인,1.0
범죄,2.0
전쟁,2.0
오늘,2.58
이자,3.32
당시,3.32
심야,2.58
고민,3.0
선택,3.32
이유,4.46
보통,2.58
약간,2.58
도시,4.0
폐쇄적,2.0
공간,3.58
배경,2.58
궁금하,1.0
잡담,1.0
시작하,4.17
펀드,4.81
상담,1.0
사,3.32
일하,3.81
여느,1.0
선물,4.58
부하,2.0
직원,3.32
추천,3.32
하지만,6.29
작년,2.0
달라,3.58
있었,2.58
당장,1.0
나중,3.58
자,4.81
설득,2.58
항상,1.0
미루,2.58
믿,3.0
안가,1.0
첫차,1.0
약속,2.0
가게,2.58
닫히,1.0
피곤,2.0
앉,3.58
눈,4.46
붙이,1.0
창가,2.0
해치,2.0
이상,5.17
광경,1.0
수상,2.58
의식,2.0
차례,2.58
수록,1.0
땋,3.32
도중,4.0
마주치,2.0
도망치,4.46
필사적,2.0
버스,3.58
자리,3.32
성,4.17
의,4.81
두려워하,1.0
심리,3.0
이용,4.17
됬는데,1.0
모이,3.32
변화,3.0
본능,2.0
흥미,2.0
웠,1.0
슬,1.0
안과,2.0
통과,3.58
약점,2.0
돌파,2.0
방법,2.58
포기,2.58
감동적,2.0
궁금증,1.0
호기심,1.0
만족,3.0
으스스,1.0
점수,2.58
만점,1.0
재밌,4.91
보시,4.7
드리,2.58
포스,2.58
팅,2.0
뵙,1.0
후기,5.25
평소,2.0
문화,1.0
생활,3.32
즐기,2.0
딱,2.0
질색,1.0
피,3.0
패주,1.0
한껏,1.0
헤,2.58
메모,1.0
어쩌다,1.0
이제야,2.0
분,6.0
스포,5.52
생일날,1.0
전처,1.0
싣,3.58
그때,3.81
마침,2.0
멀쩡,3.32
감염자,7.09
거치,2.0
건,5.0
마블리,4.17
징그럽,2.58
평범,3.0
아프,3.0
시원,2.0
제압,2.0
극중,3.0
아끼,2.0
멋있,2.0
무대,2.0
요런,1.0
겁,3.81
훅,1.0
이틀,2.0
동안,3.32
잠,3.32
청하,2.0
자꾸,2.0
확,2.58
튀어나오,2.0
같곸,1.0
곡성,2.58
후유증,1.0
기대되,1.0
정확히,2.0
자세히,1.0
겉잡,2.0
어안,1.0
벙벙,1.0
검색,2.0
나들이,1.0
들리,1.0
제주시,1.0
메가,2.58
박스,2.58
영화관,3.32
건물,2.58
따로,2.0
무지,2.0
신기,2.58
상가,1.0
입,4.0
점하,1.0
전용,1.0
텅텅,1.0
요즘,2.58
흥행작,2.0
늦,2.58
붐비,1.0
어제,1.0
인천,2.0
상륙,2.0
행,1.0
예매,3.0
완전,2.58
실망,2.58
개인적,4.7
훨,1.0
볼,1.0
보신,4.0
서두르,2.0
듯,4.58
있음,2.58
핫,2.58
하다,4.32
그전,1.0
관심,3.0
주말,2.58
역사,2.0
주로,2.58
다루,1.0
과연,3.0
우려,2.58
뇌리,1.0
특수,1.0
효과,1.0
실감,1.0
내내,4.0
긴장,1.0
집중,3.32
한시,1.0
각자,3.0
수행,1.0
특히,4.32
깊,4.17
불리우,1.0
선보이,1.0
더욱,2.58
이기심,4.32
극명,1.0
이러하,2.0
혼란,2.0
만약,3.81
극한,3.58
기기,1.0
이해,4.17
눈앞,2.0
뻔히,1.0
너무,5.52
다라,2.58
연속,1.0
계속,5.25
깜짝,2.0
도망,1.0
스크롤,1.0
마세,1.0
맞딱,1.0
후,5.17
덜하,2.0
안무가,1.0
개월,1.0
직접,2.0
연습,1.0
모든,3.81
대단,2.58
나르,2.0
부부,3.58
알아채,1.0
지휘,2.0
끔찍이,1.0
느껴지,4.58
열심히,3.58
노력,2.0
배역,2.0
성공,3.58
공격,5.39
차마,2.58
도착,4.0
르,2.58
쏟아지,2.0
플랫폼,1.0
박이,1.0
물리치,3.58
돌격,1.0
비장,1.0
선두,2.0
공신,1.0
지능,1.0
활동,2.0
기지,2.0
발휘,2.0
빛,2.0
유인,1.0
대박,2.0
단연,1.0
이분,1.0
표정,2.0
몇,3.81
내용,3.81
확고,1.0
넘치,3.32
그려내,2.58
고속,2.58
나기,1.0
갈등,2.0
얘기,3.32
욕,3.58
앞서,3.0
말씀드리,1.0
눈물짓,1.0
참으,1.0
훌쩍훌쩍,1.0
대사,4.46
기억,3.32
아마,4.0
계시,2.58
적진,1.0
다만,2.0
한가지,1.0
희생자,1.0
있다,2.0
트,2.58
빠르,4.32
속도,4.17
불러모으,1.0
천만,3.0
조심,2.0
어,4.81
누적,1.0
간단,1.0
정보,4.32
스릴러,4.32
봉,2.0
줄거리,2.58
전대미문,2.0
대한민국,3.32
확산,4.46
살아가,3.58
치열,2.58
거리,4.17
사이비,2.0
능력,2.0
입증,1.0
한국형,3.32
특색,1.0
수많,3.0
화제,2.0
폭발,2.58
전체적,2.0
무덥,1.0
몇몇,3.81
허술,1.0
띄,1.0
무방,1.0
감안,2.0
과하,1.0
오버,1.0
미모,1.0
직각,1.0
어깨,2.0
폭행,1.0
잃,3.58
내면,1.0
그려지,1.0
무심,2.58
잘나가,2.0
매니저,4.58
갖,3.0
면,3.32
나타나,3.32
극,2.0
닫,4.81
얻,3.0
출구,1.0
이렇게,3.58
구역,1.0
위기,4.0
처하,4.17
극적,2.58
조금씩,2.0
달라지,1.0
수작,2.0
틀림없,1.0
우선,1.0
지적,2.0
직접적,2.0
기,3.32
성인,1.0
가요,1.0
돌이,1.0
흐르,1.0
자연,1.0
녹아내리,1.0
전문,2.0
연기자,1.0
번째,4.0
모으,2.0
오글거리,1.0
최악,2.0
제일,3.32
그냥,4.17
노,2.58
들려주,2.0
무엇,3.81
꼽,1.0
후반부,2.58
과거,1.0
온통,1.0
하얀색,1.0
도배,1.0
옷,2.0
하얗,2.58
분유,2.0
먹이,1.0
영화제,2.0
웃,3.58
민망,1.0
카,2.0
낫,1.0
이외,1.0
거지,1.0
성과,2.58
사소,1.0
겐,2.0
다가오,2.0
힘입,1.0
다음달,2.0
확정,1.0
오리지널,1.0
선행,1.0
담,3.58
속편,1.0
내막,1.0
글,4.32
새,3.32
행보,2.0
무척,1.0
혹시,2.58
창,2.58
이정,1.0
도로,3.0
읽,2.0
안달,1.0
새벽,4.17
저주,1.0
월드,3.32
워,4.17
무수히,1.0
시리즈,1.0
반면,2.58
찾아보,2.58
힘들,3.81
볼만,2.58
최단,2.0
기간,1.0
인증,1.0
사진,3.32
어마어마,1.0
감정,4.58
진하,1.0
현실적,1.0
녹아들,1.0
유부남,1.0
어색,3.58
한정적,2.0
장소,1.0
꼭,4.0
쯤,2.58
몰아넣,1.0
숨죽이,1.0
여행,2.0
업무,2.0
끔찍,1.0
성씨,3.0
몰입,3.58
세상,2.58
소중,2.58
들이닥치,2.58
만감,1.0
교차,1.0
공감,2.0
불러일으키,1.0
충분,2.58
정신없이,1.0
무던,1.0
때쯤,1.0
응원,3.58
김의,2.0
빼놓,1.0
사장,1.0
이기주의,4.7
꼰대,1.0
진행,3.0
동정심,1.0
유발,2.58
주소,3.32
읊,1.0
간담,1.0
서늘,1.0
걸,3.81
트윗에,1.0
하루,2.58
사랑,5.46
멘션,1.0
적히,1.0
중인,4.0
말리,2.0
엉엉,2.0
온,1.0
평,3.0
마치,2.58
빼에,1.0
액,1.0
악,2.0
부탁,3.81
빼엑,1.0
아줌마,1.0
뺴,1.0
엑,1.0
쥬,1.0
금,1.0
출처,2.0
네이버,1.0
선문,1.0
스포일러,2.58
주의,4.17
드립,1.0
하세,1.0
솔,1.0
직,3.32
주관적,1.0
정체,2.0
불명,2.0
최초,2.58
페이스북,2.0
후딱,1.0
인,3.32
필요없,2.0
바로바로,1.0
없애버리는냉철,1.0
계산,1.0
조짐,1.0
입이,1.0
경씨,1.0
연기력,3.0
박,2.0
신연,2.0
고등학교,2.0
선수,1.0
과,3.32
소속,1.0
겪,2.0
아수라장,2.0
인간,5.39
데마,1.0
상,3.32
화,3.58
서로,4.32
목숨,2.0
극복,1.0
성격,1.0
내밀,2.0
또한,3.58
냉철,1.0
바,3.32
없애버,1.0
법,3.0
강추,2.0
지루,1.0
숨막히,1.0
덥,2.0
더위,1.0
어떠,3.32
간만,2.0
지금껏,2.0
규모,1.0
지니,1.0
대작,1.0
상당,2.0
세세,1.0
묘사,1.0
더불,2.0
뛰쳐나오,2.58
즐겁,2.0
고증,1.0
오류,3.0
관람객,1.0
자체,3.58
대거,1.0
야,3.32
아악,1.0
부자연,2.0
비판,2.58
눈여겨보,1.0
분명,3.58
시민,3.58
폭동,4.0
아비,1.0
규환,1.0
난장판,1.0
포,2.0
칼,1.0
립스,1.0
난데없이,2.0
끄,2.0
당,2.58
경찰,2.0
곤봉,2.0
방패,2.58
부실,1.0
장,1.0
미숙,1.0
쓸리,1.0
극치,1.0
저마다,1.0
돌아보,2.0
발암,3.58
죽,5.25
거짓말,3.0
자비,2.0
전부,4.0
밥,1.0
자처,2.0
최종,1.0
보스,1.0
온갖,1.0
그로,3.32
ㅂ,2.58
참고,3.0
선장,1.0
근원,1.0
탄,3.0
여자애,1.0
순,2.58
대표적,2.0
형상,1.0
주인,1.0
공인,1.0
분만,1.0
제가,2.0
대학,1.0
오가,1.0
익숙,2.0
풍경,3.0
행동,3.81
감회,1.0
절대,2.58
후회,2.0
여담,2.0
형님,1.0
주목,2.0
주세,1.0
우주,1.0
카테고리,1.0
수두룩,1.0
생생,1.0
기록하,1.0
해보,3.0
한국판,1.0
기대감,1.0
높이,2.0
출연진,1.0
등등,2.58
의자,1.0
편하,1.0
사운드,1.0
근처,2.58
강점,1.0
티,2.58
멤버쉽,1.0
할인,1.0
티켓,1.0
구매,1.0
제값,1.0
주고,2.0
웬지,1.0
아까,1.0
움,1.0
없었,2.58
리얼,1.0
우선순위,1.0
눈치,2.0
경쟁력,1.0
증권가,2.0
이혼남,1.0
지난번,1.0
똑같,2.58
자녀,1.0
아버지,3.32
두개,1.0
나도,2.0
플스,1.0
탐,2.0
파티,2.58
저기,3.58
비인,1.0
약자,2.58
따뜻,1.0
일깨우,1.0
러,2.58
블,2.0
한없이,1.0
여리,1.0
자상,1.0
깡패,1.0
작렬,1.0
수완,2.58
감초,1.0
톡톡히,1.0
